27 Apr 14:46:38,648 [main] INFO  TestBase  - Log4J properties is initialised
27 Apr 14:46:38,652 [main] INFO  TestBase  - browser selected in properties file: chrome
27 Apr 14:46:46,730 [main] INFO  TestBase  - Chrome Driver is launched
27 Apr 14:46:47,453 [main] INFO  TestBase  - Browser closed
27 Apr 14:53:17,467 [main] INFO  TestBase  - Log4J properties is initialised
27 Apr 14:53:17,471 [main] INFO  TestBase  - browser selected in properties file: chrome
27 Apr 14:53:17,526 [main] INFO  TestBase  - Browser closed
27 Apr 14:54:17,694 [main] INFO  TestBase  - Log4J properties is initialised
27 Apr 14:54:17,698 [main] INFO  TestBase  - browser selected in properties file: chrome
27 Apr 14:55:04,592 [main] INFO  TestBase  - Log4J properties is initialised
27 Apr 14:55:04,597 [main] INFO  TestBase  - browser selected in properties file: chrome
27 Apr 14:55:24,359 [main] INFO  TestBase  - Log4J properties is initialised
27 Apr 14:55:24,363 [main] INFO  TestBase  - browser selected in properties file: chrome
27 Apr 14:56:28,051 [main] INFO  TestBase  - Log4J properties is initialised
27 Apr 14:56:28,053 [main] INFO  TestBase  - browser selected in properties file: chrome
27 Apr 14:56:57,662 [main] INFO  TestBase  - Log4J properties is initialised
27 Apr 14:56:57,664 [main] INFO  TestBase  - browser selected in properties file: chrome
27 Apr 14:57:27,242 [main] INFO  TestBase  - Log4J properties is initialised
27 Apr 14:57:27,245 [main] INFO  TestBase  - browser selected in properties file: chrome
27 Apr 14:57:59,081 [main] INFO  TestBase  - Log4J properties is initialised
27 Apr 14:57:59,083 [main] INFO  TestBase  - browser selected in properties file: chrome
27 Apr 14:58:35,826 [main] INFO  TestBase  - Log4J properties is initialised
27 Apr 14:58:35,828 [main] INFO  TestBase  - browser selected in properties file: chrome
27 Apr 14:58:48,625 [main] INFO  TestBase  - Chrome Driver is launched
27 Apr 14:58:49,174 [main] INFO  TestBase  - Browser closed
27 Apr 15:09:42,146 [main] INFO  TestBase  - Log4J properties is initialised
27 Apr 15:09:42,148 [main] INFO  TestBase  - browser selected in properties file: chrome
